customer_id,annual_income,loan_amount,loan_purpose,credit_score,transaction_count,spending_ratio,default_flag
CUST100000,343579.3328761503,245388.3774157788,Car,768.9545417544166,51,33.94141888679641,0
CUST100001,443721.10072199965,84827.36517404705,Home,561.496365122939,55,40.04600085567268,0
CUST100002,324866.22400722053,199833.7796973686,Education,640.179057060969,48,31.324229915330136,0
CUST100003,269247.79276952747,206636.86704368267,Car,632.7241403092659,37,7.168918924662007,0
CUST100004,171027.96535598708,96097.65853716563,Business,636.322307585529,45,41.07523548148397,0
CUST100005,367018.04138997925,226496.3391759984,Education,796.4190684186451,45,27.487756037838125,0
CUST100006,104927.56851646773,48968.729166007004,Other,562.4224901666305,42,6.986029858992405,0
CUST100007,240001.6734404467,125512.68056995362,Car,625.4746364096801,48,23.468445078270435,0
CUST100008,207591.92540757084,26468.27911251546,Other,770.2657999057401,55,22.13557817638302,0
CUST100009,313756.94012212753,191758.96011263315,Other,624.1640937328682,45,8.997649555041145,0
CUST100010,318698.92279869213,52635.603490563764,Other,575.1376227306803,42,56.06691341921098,1
CUST100011,644334.9668092511,288669.5880455232,Home,671.0411745415798,48,22.194381554227206,0
CUST100012,936670.0515125549,312964.01747728966,Other,714.4512433365612,48,36.31879393210495,0
CUST100013,185226.1325752394,99344.62111044863,Business,618.5727223881362,48,56.75028428746567,0
CUST100014,1197443.6791810172,247551.20605550823,Business,694.3494712646036,45,10.116643239629058,0
CUST100015,226935.8461151307,148260.52912092302,Education,539.8707924740349,47,26.290750296057443,0
CUST100016,401722.1942996885,295671.2427167472,Other,544.3178333265124,32,24.382643321630727,0
CUST100017,492139.64843819453,113528.52601774887,Other,614.7930975797898,41,29.42039692684615,0
CUST100018,1570256.6755126158,288064.32495736046,Car,697.2013935993382,51,18.23227026442316,0
CUST100019,261615.35605080752,56616.80347733685,Home,710.9198384788069,42,30.704911581508842,0
CUST100020,123248.4101232442,98808.50299573867,Education,555.4387162033549,48,46.36947732184882,1
CUST100021,885783.3574310901,462867.3418531842,Other,707.9536563786064,50,29.10255204079671,0
CUST100022,219690.68631252533,104091.37975122246,Car,663.3205632347824,48,29.916389489996103,0
CUST100023,291573.3409707845,54048.79139047318,Home,579.6636244438946,43,45.3292859558994,0
CUST100024,185229.37624412397,114776.4207981852,Education,543.2649318381601,52,23.94392029181646,0
CUST100025,292078.45777526894,232027.03149775145,Education,668.385852392346,45,17.733024548936026,1
CUST100026,218767.5606547644,166820.91798598628,Other,,38,44.5622199701836,1
CUST100027,,326584.74727711256,Education,652.8417944622365,65,21.92421987206556,0
CUST100028,380208.46669078496,60918.13101514481,Car,575.2063320475011,46,20.847975583242203,1
CUST100029,240714.509799629,45715.92721965054,Education,500.55821703364586,43,16.912026055206358,1
CUST100030,658370.5422960055,91807.92189645016,Business,772.3592677510887,51,13.312919156727574,0
CUST100031,422100.21891554,129155.64880969241,Car,733.3480488255809,46,7.607760422833536,0
CUST100032,119655.37915381965,24951.63734709273,Home,,36,15.74582795504726,0
CUST100033,6680787.866320148,1111203.2373169912,Home,768.2395173812369,49,36.90334687219531,0
CUST100034,404707.85103260604,165139.59970551217,Other,667.9135279802875,53,20.745099877136912,0
CUST100035,834376.0613124715,712879.4151382416,Other,607.5170439505854,44,19.227741461155105,0
CUST100036,390174.92992256006,229540.24207364002,Business,694.4105796040168,35,4.2946020127630815,0
CUST100037,,172988.69713606258,Home,583.6219458985767,45,8.769097451312538,0
